Descrição do Alimento,Porção (g),Calorias (Kcal),Carboidratos (g),Proteínas (g),Gorduras Totais (g),Gorduras Saturadas (g),Gorduras Trans (g),Fibra Alimentar (g),Sódio (mg),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio de adição (mg),Potássio (mg),Cobre (mg),Zinco (mg),Selênio (mcg),Retinol (mcg),Vitamina A (mcg),Vitamina B1 (mg),Vitamina B2 (mg),Vitamina  B3 (mg),Equivalente Vitamina B3 (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Folato  (mcg),Vitamina D (mcg),Vitamina E (mg),Vitamina C (mg),Colesterol (mg),Á. Graxos Monoinsat (g),Á. Graxos Poliinsat (g),Á. Graxo Poliinsat 18:2 (g),Á. Graxo Poliinsat 18:3 (g),Açúcar Total (g),Açúcar de Adição (g)
Achocolatado em pó Toddy,20,77,,,,,,0.6,26,,,,,,,,,,,,90,0.2,0.2,2.4,,0.2,,,1.5,,6.8,,,,,,18,
Damasco desidratado,100,241,63,3.4,0.5,,,7,10,55,32,,,2.7,,1.2,,,,,3.6,,,,,0.1,,,,,1,,,,,,,
Kefir de leite,100,61,4.71,3.38,3.23,1.86,,0,45,,,,,,,150,,,,,,,,,,,,,,,,10,0.813,0.19,,,5.42,
Pasta de amendoim Max Titanium,15,93,2.8,4.6,7,1.1,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semente de abóbora torradas,15,67,8.1,2.8,2.9,0.6,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semente de girassol sem casca,100,570,18.76,22.78,49.57,5.195,,10.5,3,,,,,,,689,,,,,,,,,,,,,,,,,9.462,32.735,,,2.62,
Semente de girassol tostadas e salgadas,15,89,1.7,3.1,7.7,0.7,,,178,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.4,,,,
Whey Protein Isolado Integralmedica,30,119,4.6,21,1.9,1.7,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap10,40,110,18,3.3,2.8,,,1.1,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doce de leite La Sereníssima,20,62,11g,1.5,1.5,0.9,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leite Ninho,25,124,9.4,6.4,6.7,4.4,0.3,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte pense zero batavo ,100,60,5.8,4.8,2,1.2,,,57,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte pense zero batavo (batido),100,28,4,2.9,,,,,47,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iogurte pense zero pedaços,100,40,6,4,,,,,50,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whey 100% Integralmedica,30,122,5.1,21,1.9,1,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filé de Tilápia,100,109,1.32,17,4,0.9,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pão Francês (sem miolo),50,150,29.3,4,1.5,0.5,,1.15,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chia em grãos,15,54,0.8,2.3,4.6,0.5,0,5.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psyllium,10,7,0.8,0.6,,,,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creme de Ricota Ligth,30,44,0.8,2.7,3.3,2.1,0,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
