Descri??o do Alimento,GRUPO,Medida Caseira,Gramas
Aba de filé  cru(a),CARNE BOVINA,File,100
Aba de filé  cru(a),CARNE BOVINA,Bife,100
Aba de filé  cru(a),CARNE BOVINA,Fatia,90
Aba de filé  cru(a),CARNE BOVINA,Pedaço,35
Aba de filé  cru(a),CARNE BOVINA,Porção,75
Aba de filé  cru(a),CARNE BOVINA,Colher de Arroz,70
Aba de filé  cru(a),CARNE BOVINA,Colher de Sopa,30
Aba de filé  cru(a),CARNE BOVINA,Concha,140
Aba de filé  cru(a),CARNE BOVINA,Escumadeira,70
Aba de filé  frito(a),CARNE BOVINA,File,100
Aba de filé  frito(a),CARNE BOVINA,Bife,100
Aba de filé  frito(a),CARNE BOVINA,Fatia,90
Aba de filé  frito(a),CARNE BOVINA,Pedaço,35
Aba de filé  frito(a),CARNE BOVINA,Porção,75
Aba de filé  frito(a),CARNE BOVINA,Colher de Arroz,70
Aba de filé  frito(a),CARNE BOVINA,Colher de Sopa,30
Aba de filé  frito(a),CARNE BOVINA,Concha,140
Aba de filé  frito(a),CARNE BOVINA,Escumadeira,70
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,File,100
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Bife,100
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Fatia,90
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Pedaço,35
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Porção,75
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Colher de Arroz,70
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Colher de Sopa,30
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Concha,140
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,Escumadeira,70
Abacate (IBGE),OLEAGINOSAS,Pedaço,22
Abacate (IBGE),OLEAGINOSAS,Porção,45
Abacate (IBGE),OLEAGINOSAS,Colher de Sopa,45
Abacate (IBGE),OLEAGINOSAS,Copo Grande,200
Abacate (IBGE),OLEAGINOSAS,Unidade,430
Abacate (IBGE),OLEAGINOSAS,Unidade Pequena,370
Abacate (IBGE),OLEAGINOSAS,Metade,215
Abacate (IBGE),OLEAGINOSAS,Banda,215
Abacate (Tucunduva),,Pedaço,22
Abacate (Tucunduva),,Porção,45
Abacate (Tucunduva),,Colher de Sopa,45
Abacate (Tucunduva),,Copo Grande,200
Abacate (Tucunduva),,Unidade,430
Abacate (Tucunduva),,Unidade Pequena,370
Abacate (Tucunduva),,Metade,215
Abacate (Tucunduva),,Banda,215
"Abacate, cru",,Pedaço,22
"Abacate, cru",,Porção,45
"Abacate, cru",,Colher de Sopa,45
"Abacate, cru",,Copo Grande,200
"Abacate, cru",,Unidade,430
"Abacate, cru",,Unidade Pequena,370
"Abacate, cru",,Metade,215
"Abacate, cru",,Banda,215
Abacaxi (IBGE),FRUTAS/SUCOS/VITAMINAS,Fatia,75
Abacaxi (IBGE),FRUTAS/SUCOS/VITAMINAS,Pedaço,11
Abacaxi (IBGE),FRUTAS/SUCOS/VITAMINAS,Unidade,750
Abacaxi (IBGE),FRUTAS/SUCOS/VITAMINAS,Unidade Pequena,480
Abacaxi (IBGE),FRUTAS/SUCOS/VITAMINAS,Metade,375
Abacaxi (IBGE),FRUTAS/SUCOS/VITAMINAS,Banda,375
Abacaxi (Tucunduva),,Fatia,75
Abacaxi (Tucunduva),,Pedaço,11
Abacaxi (Tucunduva),,Unidade,750
Abacaxi (Tucunduva),,Unidade Pequena,480
Abacaxi (Tucunduva),,Metade,375
Abacaxi (Tucunduva),,Banda,375
"Abacaxi e melão, suco natural, c/ açúcar refinado",,Copo Americano,150
"Abacaxi e melão, suco natural, c/ açúcar refinado",,Copo Médio,240
"Abacaxi e melão, suco natural, c/ açúcar refinado",,Copo Grande,300
"Abacaxi e melão, suco natural, c/ açúcar refinado",,Garrafa 200ml,200
"Abacaxi e melão, suco natural, c/ açúcar refinado",,Caneca,300
"Abacaxi e melão, suco natural, s/ açúcar",,Copo Americano,150
"Abacaxi e melão, suco natural, s/ açúcar",,Copo Médio,240
"Abacaxi e melão, suco natural, s/ açúcar",,Copo Grande,300
"Abacaxi e melão, suco natural, s/ açúcar",,Garrafa 200ml,200
"Abacaxi e melão, suco natural, s/ açúcar",,Caneca,300
"Abacaxi, banana e cenoura, suco natural (néctar), c/ açúcar refinado",,Copo Americano,150
"Abacaxi, banana e cenoura, suco natural (néctar), c/ açúcar refinado",,Copo Médio,240
"Abacaxi, banana e cenoura, suco natural (néctar), c/ açúcar refinado",,Copo Grande,300
"Abacaxi, banana e cenoura, suco natural (néctar), c/ açúcar refinado",,Garrafa 200ml,200
"Abacaxi, banana e cenoura, suco natural (néctar), c/ açúcar refinado",,Caneca,300
"Abacaxi, banana e cenoura, suco natural (néctar), s/ açúcar",,Copo Americano,150
"Abacaxi, banana e cenoura, suco natural (néctar), s/ açúcar",,Copo Médio,240
"Abacaxi, banana e cenoura, suco natural (néctar), s/ açúcar",,Copo Grande,300
"Abacaxi, banana e cenoura, suco natural (néctar), s/ açúcar",,Garrafa 200ml,200
"Abacaxi, banana e cenoura, suco natural (néctar), s/ açúcar",,Caneca,300
"Abacaxi, cru",,Fatia,75
"Abacaxi, cru",,Pedaço,11
"Abacaxi, cru",,Unidade,750
"Abacaxi, cru",,Unidade Pequena,480
"Abacaxi, cru",,Metade,375
"Abacaxi, cru",,Banda,375
"Abacaxi, maracujá e caju, suco natural (néctar), c/ açúcar refinado",,Copo Americano,150
"Abacaxi, maracujá e caju, suco natural (néctar), c/ açúcar refinado",,Copo Médio,240
"Abacaxi, maracujá e caju, suco natural (néctar), c/ açúcar refinado",,Copo Grande,300
"Abacaxi, maracujá e caju, suco natural (néctar), c/ açúcar refinado",,Garrafa 200ml,200
"Abacaxi, maracujá e caju, suco natural (néctar), c/ açúcar refinado",,Caneca,300
"Abacaxi, maracujá e caju, suco natural, s/ açúcar",,Copo Americano,150
"Abacaxi, maracujá e caju, suco natural, s/ açúcar",,Copo Médio,240
"Abacaxi, maracujá e caju, suco natural, s/ açúcar",,Copo Grande,300
"Abacaxi, maracujá e caju, suco natural, s/ açúcar",,Garrafa 200ml,200
"Abacaxi, maracujá e caju, suco natural, s/ açúcar",,Caneca,300
"Abacaxi, melão e maracujá, suco natural (néctar), c/ açúcar refinado",,Copo Americano,150
"Abacaxi, melão e maracujá, suco natural (néctar), c/ açúcar refinado",,Copo Médio,240
"Abacaxi, melão e maracujá, suco natural (néctar), c/ açúcar refinado",,Copo Grande,300
"Abacaxi, melão e maracujá, suco natural (néctar), c/ açúcar refinado",,Garrafa 200ml,200
"Abacaxi, melão e maracujá, suco natural (néctar), c/ açúcar refinado",,Caneca,300
"Abacaxi, melão e maracujá, suco natural (néctar), s/ açúcar",,Copo Americano,150
"Abacaxi, melão e maracujá, suco natural (néctar), s/ açúcar",,Copo Médio,240
"Abacaxi, melão e maracujá, suco natural (néctar), s/ açúcar",,Copo Grande,300
"Abacaxi, melão e maracujá, suco natural (néctar), s/ açúcar",,Garrafa 200ml,200
"Abacaxi, melão e maracujá, suco natural (néctar), s/ açúcar",,Caneca,300
"Abacaxi, suco natural (néctar), c/ açúcar refinado",,Copo Americano,150
"Abacaxi, suco natural (néctar), c/ açúcar refinado",,Copo Médio,240
"Abacaxi, suco natural (néctar), c/ açúcar refinado",,Copo Grande,300
"Abacaxi, suco natural (néctar), c/ açúcar refinado",,Garrafa 200ml,200
"Abacaxi, suco natural (néctar), c/ açúcar refinado",,Caneca,300
"Abacaxi, suco natural (néctar), s/ açúcar",,Copo Americano,150
"Abacaxi, suco natural (néctar), s/ açúcar",,Copo Médio,240
"Abacaxi, suco natural (néctar), s/ açúcar",,Copo Grande,300
"Abacaxi, suco natural (néctar), s/ açúcar",,Garrafa 200ml,200
"Abacaxi, suco natural (néctar), s/ açúcar",,Caneca,300
Abóbora,VERDURAS,Fatia,50
Abóbora,VERDURAS,Pedaço,50
Abóbora,VERDURAS,Porção,70
Abóbora,VERDURAS,Colher de Arroz,72
Abóbora,VERDURAS,Colher de Sopa,36
Abóbora,VERDURAS,Concha,100
Abóbora,VERDURAS,Escumadeira,100
Abóbora,VERDURAS,Colher de Sobremesa,18
Abóbora,VERDURAS,Pegador,36
Abóbora,VERDURAS,Prato Fundo,280
Abóbora,VERDURAS,Prato Raso,140
Abóbora,VERDURAS,Tigela,100
Abóbora assado(a),VERDURAS,Fatia,50
Abóbora assado(a),VERDURAS,Pedaço,50
Abóbora com quiabo,VERDURAS,Colher de Arroz,78
Abóbora com quiabo,VERDURAS,Colher de Sopa,20
Abóbora com quiabo,VERDURAS,Concha,103
Abóbora cozido(a),VERDURAS,Fatia,50
Abóbora cozido(a),VERDURAS,Pedaço,50
Abóbora cozido(a),VERDURAS,Porção,70
Abóbora cozido(a),VERDURAS,Colher de Arroz,72
Abóbora cozido(a),VERDURAS,Colher de Sopa,36
Abóbora cozido(a),VERDURAS,Concha,100
Abóbora cozido(a),VERDURAS,Escumadeira,100
Abóbora cozido(a),VERDURAS,Colher de Sobremesa,18
Abóbora cozido(a),VERDURAS,Pegador,36
Abóbora cozido(a),VERDURAS,Prato Fundo,280
Abóbora cozido(a),VERDURAS,Prato Raso,140
Abóbora cozido(a),VERDURAS,Tigela,100
Abóbora cru(a),VERDURAS,Fatia,50
Abóbora cru(a),VERDURAS,Pedaço,50
Abóbora cru(a),VERDURAS,Porção,70
Abóbora cru(a),VERDURAS,Colher de Arroz,72
Abóbora cru(a),VERDURAS,Colher de Sopa,36
Abóbora cru(a),VERDURAS,Concha,100
Abóbora cru(a),VERDURAS,Escumadeira,100
Abóbora cru(a),VERDURAS,Colher de Sobremesa,18
Abóbora cru(a),VERDURAS,Pegador,36
Abóbora cru(a),VERDURAS,Prato Fundo,280
Abóbora cru(a),VERDURAS,Prato Raso,140
Abóbora cru(a),VERDURAS,Tigela,100
Abóbora ensopado,VERDURAS,Fatia,50
Abóbora ensopado,VERDURAS,Pedaço,50
Abóbora ensopado,VERDURAS,Porção,70
Abóbora ensopado,VERDURAS,Colher de Arroz,72
Abóbora ensopado,VERDURAS,Colher de Sopa,36
Abóbora ensopado,VERDURAS,Concha,100
Abóbora ensopado,VERDURAS,Escumadeira,100
Abóbora ensopado,VERDURAS,Colher de Sobremesa,18
Abóbora ensopado,VERDURAS,Pegador,36
Abóbora ensopado,VERDURAS,Prato Fundo,280
Abóbora ensopado,VERDURAS,Prato Raso,140
Abóbora ensopado,VERDURAS,Tigela,100
Abóbora frito(a),VERDURAS,Pedaço,50
Abóbora frito(a),VERDURAS,Porção,70
Abóbora frito(a),VERDURAS,Colher de Sopa,36
Abóbora molho vermelho,VERDURAS,Fatia,50
Abóbora molho vermelho,VERDURAS,Pedaço,50
Abóbora molho vermelho,VERDURAS,Porção,70
Abóbora molho vermelho,VERDURAS,Colher de Arroz,72
Abóbora molho vermelho,VERDURAS,Colher de Sopa,36
Abóbora molho vermelho,VERDURAS,Concha,100
Abóbora molho vermelho,VERDURAS,Escumadeira,100
Abóbora molho vermelho,VERDURAS,Colher de Sobremesa,18
Abóbora molho vermelho,VERDURAS,Pegador,36
Abóbora molho vermelho,VERDURAS,Prato Fundo,280
Abóbora molho vermelho,VERDURAS,Prato Raso,140
Abóbora molho vermelho,VERDURAS,Tigela,100
Abóbora refogado(a),VERDURAS,Fatia,50
Abóbora refogado(a),VERDURAS,Pedaço,50
Abóbora refogado(a),VERDURAS,Porção,70
Abóbora refogado(a),VERDURAS,Colher de Arroz,72
Abóbora refogado(a),VERDURAS,Colher de Sopa,36
Abóbora refogado(a),VERDURAS,Concha,100
Abóbora refogado(a),VERDURAS,Escumadeira,100
Abóbora refogado(a),VERDURAS,Colher de Sobremesa,18
Abóbora refogado(a),VERDURAS,Pegador,36
Abóbora refogado(a),VERDURAS,Prato Fundo,280
Abóbora refogado(a),VERDURAS,Prato Raso,140
Abóbora refogado(a),VERDURAS,Tigela,100
"Abóbora, cabotian, cozida",,Fatia,50
"Abóbora, cabotian, cozida",,Pedaço,50
"Abóbora, cabotian, cozida",,Porção,70
"Abóbora, cabotian, cozida",,Colher de Arroz,72
"Abóbora, cabotian, cozida",,Colher de Sopa,36
"Abóbora, cabotian, cozida",,Concha,100
"Abóbora, cabotian, cozida",,Escumadeira,100
"Abóbora, cabotian, cozida",,Colher de Sobremesa,18
"Abóbora, cabotian, cozida",,Pegador,36
"Abóbora, cabotian, cozida",,Prato Fundo,280
"Abóbora, cabotian, cozida",,Prato Raso,140
"Abóbora, cabotian, cozida",,Tigela,100
"Abóbora, cabotian, crua",,Fatia,50
"Abóbora, cabotian, crua",,Pedaço,50
"Abóbora, cabotian, crua",,Porção,70
"Abóbora, cabotian, crua",,Colher de Arroz,72
"Abóbora, cabotian, crua",,Colher de Sopa,36
"Abóbora, cabotian, crua",,Concha,100
"Abóbora, cabotian, crua",,Escumadeira,100
"Abóbora, cabotian, crua",,Colher de Sobremesa,18
"Abóbora, cabotian, crua",,Pegador,36
"Abóbora, cabotian, crua",,Prato Fundo,280
"Abóbora, cabotian, crua",,Prato Raso,140
"Abóbora, cabotian, crua",,Tigela,100
"Abóbora, menina brasileira, crua",,Fatia,50
"Abóbora, menina brasileira, crua",,Pedaço,50
"Abóbora, menina brasileira, crua",,Porção,70
"Abóbora, menina brasileira, crua",,Colher de Arroz,72
"Abóbora, menina brasileira, crua",,Colher de Sopa,36
"Abóbora, menina brasileira, crua",,Concha,100
"Abóbora, menina brasileira, crua",,Escumadeira,100
"Abóbora, menina brasileira, crua",,Colher de Sobremesa,18
"Abóbora, menina brasileira, crua",,Pegador,36
"Abóbora, menina brasileira, crua",,Prato Fundo,280
"Abóbora, menina brasileira, crua",,Prato Raso,140
"Abóbora, menina brasileira, crua",,Tigela,100
"Abóbora, moranga, crua",,Fatia,50
"Abóbora, moranga, crua",,Pedaço,50
"Abóbora, moranga, crua",,Porção,70
"Abóbora, moranga, crua",,Colher de Arroz,72
"Abóbora, moranga, crua",,Colher de Sopa,36
"Abóbora, moranga, crua",,Concha,100
"Abóbora, moranga, crua",,Escumadeira,100
"Abóbora, moranga, crua",,Colher de Sobremesa,18
"Abóbora, moranga, crua",,Pegador,36
"Abóbora, moranga, crua",,Prato Fundo,280
"Abóbora, moranga, crua",,Prato Raso,140
"Abóbora, moranga, crua",,Tigela,100
"Abóbora, moranga, refogada",,Fatia,50
"Abóbora, moranga, refogada",,Pedaço,50
"Abóbora, moranga, refogada",,Porção,70
"Abóbora, moranga, refogada",,Colher de Arroz,72
"Abóbora, moranga, refogada",,Colher de Sopa,36
"Abóbora, moranga, refogada",,Concha,100
"Abóbora, moranga, refogada",,Escumadeira,100
"Abóbora, pescoço, crua",,Fatia,50
"Abóbora, pescoço, crua",,Pedaço,50
"Abóbora, pescoço, crua",,Porção,70
"Abóbora, pescoço, crua",,Colher de Arroz,72
"Abóbora, pescoço, crua",,Colher de Sopa,36
"Abóbora, pescoço, crua",,Concha,100
"Abóbora, pescoço, crua",,Escumadeira,100
"Abóbora, pescoço, crua",,Colher de Sobremesa,18
"Abóbora, pescoço, crua",,Pegador,36
"Abóbora, pescoço, crua",,Prato Fundo,280
"Abóbora, pescoço, crua",,Prato Raso,140
"Abóbora, pescoço, crua",,Tigela,100
Abóbora-kabotcha (crua),,Fatia,50
Abóbora-kabotcha (crua),,Pedaço,50
Abóbora-kabotcha (crua),,Porção,70
Abóbora-kabotcha (crua),,Colher de Arroz,72
Abóbora-kabotcha (crua),,Colher de Sopa,36
Abóbora-kabotcha (crua),,Concha,100
Abóbora-kabotcha (crua),,Escumadeira,100
Abóbora-kabotcha (crua),,Colher de Sobremesa,18
Abóbora-kabotcha (crua),,Pegador,36
Abóbora-kabotcha (crua),,Prato Fundo,280
Abóbora-kabotcha (crua),,Prato Raso,140
Abóbora-kabotcha (crua),,Tigela,100
Abóbora-moranga (cozida),,Fatia,50
Abóbora-moranga (cozida),,Pedaço,50
Abóbora-moranga (cozida),,Porção,70
Abóbora-moranga (cozida),,Colher de Arroz,72
Abóbora-moranga (cozida),,Colher de Sopa,36
