Descrição do Alimento,GRUPO,File,Bife,Fatia,Pedaço,Porção,Colher de Arroz,Colher de Sopa,Concha,Escumadeira,Colher de Chá,Colher de Café,Colher de Sobremesa,Copo Americano,Copo Médio,Copo Grande,Pegador,Pote,Prato Sobremesa,Prato Fundo,Prato Raso,Tigela,Xícara de Chá,Asa,Peito,Coxa,Sobrecoxa,Costela,Pescoço,Unidade,Unidade Pequena,Metade,Banda,Punhado,Garrafa 200ml,Caneca,Folha,Nova Medida 1,Nova Medida 2,Nova Medida 3,Nova Medida 4,Nova Medida 5,Nova Medida 6,Nova Medida 7,Nova Medida 8,Nova Medida 9,Nova Medida 10,Nova Medida 11,Nova Medida 12
Aba de filé  cru(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aba de filé  frito(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aba de filé  grelhado(a)/brasa/churrasco,CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacate (IBGE),OLEAGINOSAS,,,,22,45,,45,,,,,,,,200,,,,,,,,,,,,,,430,370,215,215,,,,,,,,,,,,,,,,
Abacate (Tucunduva),,,,,22,45,,45,,,,,,,,200,,,,,,,,,,,,,,430,370,215,215,,,,,,,,,,,,,,,,
"Abacate, cru",,,,,22,45,,45,,,,,,,,200,,,,,,,,,,,,,,430,370,215,215,,,,,,,,,,,,,,,,
"Abacate, polpa, in natura, Persea americana Mill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacaxi (IBGE),FRUTAS/SUCOS/VITAMINAS,,,75,11,,,,,,,,,,,,,,,,,,,,,,,,,750,480,375,375,,,,,,,,,,,,,,,,
Abacaxi (Tucunduva),,,,75,11,,,,,,,,,,,,,,,,,,,,,,,,,750,480,375,375,,,,,,,,,,,,,,,,
Abacaxi (casca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacaxi congelado -DeMarchi®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacaxi desidratado -Fazenda Tamanduá®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abacaxi e melão, suco natural, c/ açúcar refinado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi e melão, suco natural, s/ açúcar",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, banana e cenoura, suco natural (néctar), c/ açúcar refinado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, banana e cenoura, suco natural (néctar), s/ açúcar",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, cru",,,,75,11,,,,,,,,,,,,,,,,,,,,,,,,,750,480,375,375,,,,,,,,,,,,,,,,
"Abacaxi, maracujá e caju, suco natural (néctar), c/ açúcar refinado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, maracujá e caju, suco natural, s/ açúcar",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, melão e maracujá, suco natural (néctar), c/ açúcar refinado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, melão e maracujá, suco natural (néctar), s/ açúcar",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, polpa, congelada (TACO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abacaxi, polpa, congelada (TBCA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abacaxi, polpa, in natura, Ananas comosus L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abacaxi, suco natural (néctar), c/ açúcar refinado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Abacaxi, suco natural (néctar), s/ açúcar",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Abadejo em filé (congelado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abadejo, filé, congelado, assado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abadejo, filé, congelado, cru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abadejo, filé, congelado, grelhado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abadejo, filé, congelado,cozido",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abará (bahia),TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abiu,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abiu, cru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abiu, in natura, Lucuma caimito (Ruiz & Pav.) Roem & Schult",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora,VERDURAS,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora (casca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora (semente),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora assado(a),VERDURAS,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora com quiabo,VERDURAS,,,,,,78,20,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora cozido(a),VERDURAS,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora cru(a),VERDURAS,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora ensopado,VERDURAS,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora frito(a),VERDURAS,,,,50,70,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora molho vermelho,VERDURAS,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora refogado(a),VERDURAS,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora sopa,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, cabotian, cozida",,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, cabotian, crua",,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, menina brasileira, crua",,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, moranga, crua",,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, moranga, refogada",,,,50,50,70,72,36,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, pescoço, crua",,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, s/ casca e s/sementes, crua, Curcubita spp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora-kabotcha (crua),,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora-moranga (cozida),,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abóbora-moranga (crua),,,,50,50,70,72,36,100,100,,,18,,,,36,,,280,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abobrinha assado(a),VERDURAS,,,61,17,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abobrinha cozido(a),VERDURAS,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
Abobrinha cru(a),VERDURAS,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
Abobrinha empanado(a)/a milanesa,VERDURAS,,,61,,57,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abobrinha ensopado,VERDURAS,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
Abobrinha frito(a),VERDURAS,,,,,57,70,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abobrinha grelhado(a)/brasa/churrasco,VERDURAS,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
Abobrinha refogado(a),VERDURAS,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
"Abobrinha, italiana, cozida",,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
"Abobrinha, italiana, crua",,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
"Abobrinha, italiana, refogada",,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
"Abobrinha, paulista, crua",,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
Abobrinha-italiana (cozida),,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
Abobrinha-italiana (crua),,,,61,17,57,70,30,90,90,,,,,,,30,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,
Abobrinha-italiana (frita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abobrinha-italiana(empanada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açafrão cru(a),CONDIMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí (IBGE),FRUTAS/SUCOS/VITAMINAS,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí (Tucunduva),,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí com banana - Frooty®,,,,,,60,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí com granola,FRUTAS/SUCOS/VITAMINAS,,,,,60,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí morango - Açaí Frooty®,,,,,,60,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí natural - Açaí Frooty®,,,,,,60,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açaí Whey Box, 12Uni/35G",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açaí Whey Lata, 420G, 12Doses",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açaí Whey Sachê, 1Uni/35G",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açaí zero açúcar - AçaíFrooty®,,,,,,60,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açaí, c/ xarope de guaraná e glucose, suco",,,,,,,,10,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Açaí, polpa, com xarope de guaraná e glucose (TACO)",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
